评论者,评分,评论内容
waffler22,,"□左儿(http://www.douban.com/people/lefter/) 题记 一个特殊的时代造就了［泰坦尼克］。今年11月，是［泰坦尼克］十周年，我们郑重其事回头打量，发现它在商业和文艺领域的巨大成功绝非个案这么简单。尽管就连当时华尔街分析人士也认为，若这部耗资两亿的电影成功，势必把好...

                         (展开)"
Lethe。,,"更近我主。 在死亡来临的时刻。 上帝擦去他们所有的眼泪 死亡不再有 也不再有悲伤和生死离别 不再有痛苦 因为往事已逝。 当我看见逸夫楼的公告板上写着下午放映《泰坦尼克号》时，抑制不住内心的冲动再次坐到了放映厅里——这是我第三次观看此片，也是第一次和这么多人一起看电...

                         (展开)"
柴斯卡,,"大概是十三年前，我在书市上买了一本封面是哈利波特的《看电影》，其中搞了一个史上最烂电影排行榜，将《泰坦尼克》排在第八。我有个特异功能就是对小时候看过的书过目不忘，所以至今仍能复述其中给出的理由：“你很难分辨出这部长达180分钟的巨制究竟是属于惊险片还是爱情片—...

                         (展开)"
LORENZO 洛伦佐,,"爱情是一张票根，凭它我们乘上时光机器，穿过长长短短的岁月，寻找那么一些些曾经让我们怦然心动的回忆。爱情也是一张船票，它曾漂荡在大西洋的无垠碧海，沉入海底几万英尺的寂寞深渊。爱情还是一张电影票，它见证了十五年光阴似水，历久弥新，再次击中我们怅然若失的心。有些...

                         (展开)"
沉静如海,,"夜深如海，我静静的躺在床上看着泰坦尼克号，不知道是第几次看了，似乎这已经变成了一个习惯，在我需要流泪的时候。 这一次，我被一个叫卡尔的小人感动了。一直似乎都将聚光灯打在主角的身上，杰克和罗丝的爱情毫无疑问的荡气回肠，每一次都恨卡尔捣乱自私，将一次次逃生的机会...

                         (展开)"
南十字,,"不知不觉间，距离1997年11月1日已经过了整十年，换个说法：十年（又好几天）前，《泰坦尼克号》首映。      十年前只能用猫吱呀着拨号上网，十年后已经没人能忍受512K以下的带宽；十年前哈利波特第一部刚刚出版，十年后J.K.罗琳为眼镜魔法少年的故事画上了句号；十年前的...

                         (展开)"
欧阳杨,,"泰坦尼克号叙述了柯布大叔年轻的时候化名杰克，潜入美女露丝的梦中，离间露丝与其龙套未婚夫的关系的经典科幻悬疑谍战大片！  作为一个年轻人，年轻的柯布显然在造梦这种高技术含量的工作上欠点火候。 果然，计划进行到一半，柯布的梦境要崩溃了！丫造出来的大船装到了冰山上！...

                         (展开)"
小斑,,"嘛，大船么，都15年了趁最近3D风劲，去垫个了鼻子复出，摆明就是来抢钱的。不过这部片承载了太多的记忆，故人再来，被骗点钱去又有什么要紧。  说真的，垫过也就是这么回事啦，看上去就跟淡妆画了点鼻影差不多。当年模型做得有点穿的地方看着还是假兮兮的，灰啊雨啊雪啊之类仍...

                         (展开)"
youheisme,,"He saved me,in every way that a person can be saved.这是老露丝说的一句话。很让人回味。    杰克不仅救了她的命，而且还从一个人生活的各个方面拯救了，让她找到了生命的真谛。因为杰克给了露丝活下去的勇气和信念。他虽然离开了，可是在她心里他依然守候，依然陪伴。正...

                         (展开)"
叔菜,,"看到不少所谓最杰出XX部电影的榜单，总是刻意把Titanic排在外面，当时的技术、编导、音效、演员无不是超一流，就是因为当年票房太高，所以引起了不少清高人士的反感。  好电影，为什么不能是票房最高的？为什么不能是最多人喜欢的？  Titanic之后，还有哪部电影有这么大影响力...

                         (展开)"
