title,author,price
 习近平新时代中国特色社会主义思想概论 2023新版,高等教育出版社,¥26.00
 中医基础理论·全国中医药行业高等教育“十四五”规划教材,"郑洪新, 杨柱",¥50.15
 经济学原理 第8版 曼昆新版 微观经济学 宏观经济学 全2册 经济学经典教材,（美）N.格里高利·曼昆（N. Gregory Mankiw）,¥198.00
 中医基础理论(五版教材),印会河 主编,¥21.25
 中医诊断学·全国中医药行业高等教育“十四五”规划教材,"李灿东, 方朝义",¥49.30
 刑法学（第六版 上下册）,张明楷 著,¥140.40
 当代中国政府与政治（新编21世纪公共管理系列教材）团购电话4001066666转6,景跃进 陈明明 肖滨,¥38.40
 中医基础理论习题集·全国中医药行业高等教育“十四五”规划教材配套用书,"郑洪新, 杨柱主编",¥88.30
 罗宾斯 组织行为学（第18版）（工商管理经典译丛）考研参考书,[美]斯蒂芬·罗宾斯（Stephen P. Robbins),¥95.00
 中药学·全国中医药行业高等教育“十四五”规划教材,"钟赣生, 杨柏灿",¥84.15
 高等数学 第八版 上册,同济大学数学科学学院,¥45.40
 普通心理学(第5版）,彭聃龄,¥56.20
 普林斯顿微积分读本（修订版）,【美】阿德里安·班纳,¥66.40
 生理学（第9版/本科临床/配增值）,王庭槐,¥63.75
 逻辑学导论（第15版）,[美]欧文·M.柯匹 [美]卡尔·科恩 [加]维克多·罗迪奇,¥139.00
 方剂学·全国中医药行业高等教育“十四五”规划教材,"李冀, 左铮云",¥67.15
 高等数学习题全解指导 上册 同济·第八版,同济大学数学科学学院 编,¥31.10
 系统解剖学（第9版/本科临床/配增值）,丁文龙、刘学政,¥84.15
 内科学（第9版/本科临床/配增值）,葛均波、徐永健、王辰,¥100.30
 罗宾斯 管理学(第15版)（工商管理经典译丛）考研参考书，全国优秀畅销书,[美]斯蒂芬 罗宾斯 ，玛丽 库尔特,¥98.00
 高等数学 第八版 下册,同济大学数学科学学院,¥37.20
 现代教育技术（第4版）,李志河,¥42.30
 民法练习题集（第六版）（21世纪法学系列教材配套辅导用书）,王轶,¥108.00
 现代汉语（增订六版）上册,黄伯荣 廖序东,¥29.40
 法理学练习题集（第六版）（21世纪法学系列教材配套辅导用书）,朱景文,¥68.00
 中医诊断学（修订版）(高等医药院校教材),编者:邓铁涛,¥29.75
 现代汉语（增订六版）下册,黄伯荣 廖序东,¥25.30
 哲学导论,王德峰,¥23.50
 艺术概论（王宏建主编）（本书是全新修订版，是一本经得起时间和实践检验近30年的艺术理论教材。）,王宏建,¥28.40
 刑法练习题集（第七版）（21世纪法学系列教材配套辅导用书）,王作富,¥68.00
 高等师范院校公共课教育学教材：教育学基础 第3版,全国十二所重点师范大学,¥24.40
 针灸学·全国中医药行业高等教育“十四五”规划教材,"梁繁荣, 王华",¥81.60
 高等数学同步检测卷（上册）,张天德,¥17.90
 宪法练习题集（第四版）（21世纪法学系列教材配套辅导用书）,胡锦光,¥49.00
 工程数学 线性代数 第七版,同济大学数学科学学院,¥21.40
 建筑结构抗震设计理论与方法（第2版）,潘鹏、张耀庭、王涛,¥108.80
 高等数学——微积分入门,华玉爱,¥32.40
 经济学原理(第8版) 微观经济学分册 曼昆著,（美）N.格里高利·曼昆（N. Gregory Mankiw）,¥109.00
 妇产科学（第9版/本科临床/配增值）,谢幸、孔北华、段涛,¥69.70
 中药学(五版教材),凌一揆，颜正华 编,¥40.80
 经济学原理(第7版)套装 (微观经济学分册+宏观经济学分册) 曼昆著,（美）曼昆 著，梁小民，梁砾 译,¥97.20
 教育心理学（第三版）,张大均 主编,¥43.50
 基础泰语1,廖宇夫 编著,¥27.16
 法理学配套测试（第十一版）（高校法学专业核心课程配套测试）,教学辅导中心 组编,¥52.00
 线性代数及其应用（原书第5版）,（美）戴维 C.雷（David C.Lay），史蒂文 R.雷（Steven R.Lay）,¥57.60
 高等数学习题全解指南（上册）同济 第七版,同济大学数学系,¥29.00
 法理学（第五版）,张文显,¥47.80
 方剂学(五版教材),许济群 主编,¥32.30
 细胞生物学(第5版),丁明孝 王喜忠 张传茂 陈建国,¥71.20
 发展心理学 第三版,林崇德 主编,¥38.90
 刑事诉讼法练习题集（第六版）（21世纪法学系列教材配套辅导用书）,程荣斌 陶杨,¥58.00
 经络学(五版教材),李鼎,¥21.25
 当代教育心理学（第3版）,陈琦 刘儒德,¥47.50
 中医症状鉴别诊断学（第二版）,姚乃礼 主编,¥45.60
 组织学与胚胎学(第3版),张琳，汪琳,¥74.20
 商业银行对公授信培训(第四版),立金银行培训中心,¥64.90
 外科学（第9版/本科临床/配增值）,陈孝平、汪建平、赵继宗,¥98.60
 植物学（第3版）,主编 马炜梁； 编著 马炜梁 王幼芳 李,¥63.80
 算法导论（原书第3版）（全球超过50万人阅读的算法圣经！算法标准教材，国内外1000余所高校采用）,(美)科尔曼,¥83.20
 营养与食品卫生学（第8版/本科预防）,孙长颢，凌文华，黄国伟 等 编,¥58.50
